S.No,Area / Locality,Search Phrase,Region,Area Type,URL
396,Palamaner Road,"Palamaner Road, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/palamaner-road-catering.html
397,Ambur Road,"Ambur Road, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/ambur-road-catering.html
398,Vaniyambadi Road,"Vaniyambadi Road, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/vaniyambadi-road-catering.html
399,Tirupattur Road,"Tirupattur Road, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/tirupattur-road-catering.html
400,Chennai Road,"Chennai Road, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/chennai-road-catering.html
401,Ranipet Road,"Ranipet Road, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/ranipet-road-catering.html
402,Arcot Road,"Arcot Road, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/arcot-road-catering.html
403,Arakkonam Road,"Arakkonam Road, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/arakkonam-road-catering.html
404,Madhanur Road,"Madhanur Road, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/madhanur-road-catering.html
405,Jolarpet Road,"Jolarpet Road, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/jolarpet-road-catering.html
406,Gudiyatham Bazaar,"Gudiyatham Bazaar, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/gudiyatham-bazaar-catering.html
407,Ambur Bazaar,"Ambur Bazaar, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/ambur-bazaar-catering.html
408,Vaniyambadi Bazaar,"Vaniyambadi Bazaar, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/vaniyambadi-bazaar-catering.html
409,Tirupattur Bazaar,"Tirupattur Bazaar, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/tirupattur-bazaar-catering.html
410,Ranipet Bazaar,"Ranipet Bazaar, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/ranipet-bazaar-catering.html
411,Arcot Bazaar,"Arcot Bazaar, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/arcot-bazaar-catering.html
412,Walajapet Bazaar,"Walajapet Bazaar, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/walajapet-bazaar-catering.html
413,Sholinghur Bazaar,"Sholinghur Bazaar, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/sholinghur-bazaar-catering.html
414,Arakkonam Bazaar,"Arakkonam Bazaar, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/arakkonam-bazaar-catering.html
415,Kaveripakkam Bazaar,"Kaveripakkam Bazaar, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/kaveripakkam-bazaar-catering.html
416,Nemili Bazaar,"Nemili Bazaar, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/nemili-bazaar-catering.html
417,Pernambut Bazaar,"Pernambut Bazaar, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/pernambut-bazaar-catering.html
418,KV Kuppam Bazaar,"KV Kuppam Bazaar, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/kv-kuppam-bazaar-catering.html
419,Pallikonda Bazaar,"Pallikonda Bazaar, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/pallikonda-bazaar-catering.html
420,Katpadi Bazaar,"Katpadi Bazaar, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/katpadi-bazaar-catering.html
421,Thiruvalam Bazaar,"Thiruvalam Bazaar, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/thiruvalam-bazaar-catering.html
422,Ponnai Bazaar,"Ponnai Bazaar, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/ponnai-bazaar-catering.html
423,Anaicut Bazaar,"Anaicut Bazaar, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/anaicut-bazaar-catering.html
424,Odugathur Bazaar,"Odugathur Bazaar, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/odugathur-bazaar-catering.html
425,Pennathur Bazaar,"Pennathur Bazaar, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/pennathur-bazaar-catering.html
426,Anaikattu Bazaar,"Anaikattu Bazaar, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/anaikattu-bazaar-catering.html
427,Kaniyambadi Bazaar,"Kaniyambadi Bazaar, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/kaniyambadi-bazaar-catering.html
428,Adukkamparai Junction,"Adukkamparai Junction, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/adukkamparai-junction-catering.html
429,Ariyur Junction,"Ariyur Junction, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/ariyur-junction-catering.html
430,Pallikonda Junction,"Pallikonda Junction, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/pallikonda-junction-catering.html
431,Pennathur Junction,"Pennathur Junction, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/pennathur-junction-catering.html
432,Thiruvalam Junction,"Thiruvalam Junction, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/thiruvalam-junction-catering.html
433,Ponnai Junction,"Ponnai Junction, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/ponnai-junction-catering.html
434,Madhanur Junction,"Madhanur Junction, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/madhanur-junction-catering.html
435,Ambur Junction,"Ambur Junction, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/ambur-junction-catering.html
436,Vaniyambadi Junction,"Vaniyambadi Junction, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/vaniyambadi-junction-catering.html
437,Jolarpet Junction,"Jolarpet Junction, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/jolarpet-junction-catering.html
438,Tirupattur Junction,"Tirupattur Junction, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/tirupattur-junction-catering.html
439,Ranipet Junction,"Ranipet Junction, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/ranipet-junction-catering.html
440,Walajapet Junction,"Walajapet Junction, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/walajapet-junction-catering.html
441,Arcot Junction,"Arcot Junction, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/arcot-junction-catering.html
442,Arakkonam Junction,"Arakkonam Junction, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/arakkonam-junction-catering.html
443,Kaveripakkam Junction,"Kaveripakkam Junction, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/kaveripakkam-junction-catering.html
444,Sholinghur Junction,"Sholinghur Junction, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/sholinghur-junction-catering.html
445,Nemili Junction,"Nemili Junction, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/nemili-junction-catering.html
446,Gudiyatham Junction,"Gudiyatham Junction, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/gudiyatham-junction-catering.html
447,Pernambut Junction,"Pernambut Junction, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/pernambut-junction-catering.html
448,KV Kuppam Junction,"KV Kuppam Junction, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/kv-kuppam-junction-catering.html
449,Anaicut Junction,"Anaicut Junction, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/anaicut-junction-catering.html
450,Odugathur Junction,"Odugathur Junction, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/odugathur-junction-catering.html
451,Kaniyambadi Junction,"Kaniyambadi Junction, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/kaniyambadi-junction-catering.html
452,Sathuvachari Junction,"Sathuvachari Junction, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/sathuvachari-junction-catering.html
453,Bagayam Junction,"Bagayam Junction, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/bagayam-junction-catering.html
454,Vellore Fort Junction,"Vellore Fort Junction, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/vellore-fort-junction-catering.html
455,Green Circle Vellore,"Green Circle Vellore, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/green-circle-vellore-catering.html
456,Old Bus Stand Vellore,"Old Bus Stand Vellore, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/old-bus-stand-vellore-catering.html
457,New Bus Stand Vellore,"New Bus Stand Vellore, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/new-bus-stand-vellore-catering.html
458,Katpadi CMC Road,"Katpadi CMC Road, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/katpadi-cmc-road-catering.html
459,Thorapadi CMC Road,"Thorapadi CMC Road, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/thorapadi-cmc-road-catering.html
460,Sathuvachari Bus Stop,"Sathuvachari Bus Stop, Vellore, Tamil Nadu",Vellore & nearby,Locality / Village,servicing-areas/sathuvachari-bus-stop-catering.html
461,Katpadi Bus Stand,"Katpadi Bus Stand, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/katpadi-bus-stand-catering.html
462,Gudiyatham Bus Stand,"Gudiyatham Bus Stand, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/gudiyatham-bus-stand-catering.html
463,Ambur Bus Stand,"Ambur Bus Stand, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/ambur-bus-stand-catering.html
464,Vaniyambadi Bus Stand,"Vaniyambadi Bus Stand, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/vaniyambadi-bus-stand-catering.html
465,Tirupattur Bus Stand,"Tirupattur Bus Stand, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/tirupattur-bus-stand-catering.html
466,Ranipet Bus Stand,"Ranipet Bus Stand, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/ranipet-bus-stand-catering.html
467,Arcot Bus Stand,"Arcot Bus Stand, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/arcot-bus-stand-catering.html
468,Walajapet Bus Stand,"Walajapet Bus Stand, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/walajapet-bus-stand-catering.html
469,Arakkonam Bus Stand,"Arakkonam Bus Stand, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/arakkonam-bus-stand-catering.html
470,Sholinghur Bus Stand,"Sholinghur Bus Stand, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/sholinghur-bus-stand-catering.html
471,Pernambut Bus Stand,"Pernambut Bus Stand, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/pernambut-bus-stand-catering.html
472,KV Kuppam Bus Stand,"KV Kuppam Bus Stand, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/kv-kuppam-bus-stand-catering.html
473,Pallikonda Bus Stand,"Pallikonda Bus Stand, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/pallikonda-bus-stand-catering.html
474,Pennathur Bus Stand,"Pennathur Bus Stand, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/pennathur-bus-stand-catering.html
475,Odugathur Bus Stand,"Odugathur Bus Stand, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/odugathur-bus-stand-catering.html
476,Thiruvalam Bus Stand,"Thiruvalam Bus Stand, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/thiruvalam-bus-stand-catering.html
477,Ponnai Bus Stand,"Ponnai Bus Stand, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/ponnai-bus-stand-catering.html
478,Nemili Bus Stand,"Nemili Bus Stand, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/nemili-bus-stand-catering.html
479,Kaveripakkam Bus Stand,"Kaveripakkam Bus Stand, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/kaveripakkam-bus-stand-catering.html
480,Jolarpet Bus Stand,"Jolarpet Bus Stand, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/jolarpet-bus-stand-catering.html
481,Madhanur Bus Stand,"Madhanur Bus Stand, Vellore, Tamil Nadu",Vellore & nearby,Road / Junction / Landmark,servicing-areas/madhanur-bus-stand-catering.html
482,Rathnagiri,"Rathnagiri, Vellore, Tamil Nadu",Vellore & nearby,Locality / Village,servicing-areas/rathnagiri-catering.html
483,Kailasagiri,"Kailasagiri, Vellore, Tamil Nadu",Vellore & nearby,Locality / Village,servicing-areas/kailasagiri-catering.html
484,Vellore R.F.,"Vellore R.F., Vellore, Tamil Nadu",Vellore & nearby,Forest / Census locality,servicing-areas/vellore-r-f-catering.html
485,Arasampattu R.F.,"Arasampattu R.F., Vellore, Tamil Nadu",Vellore & nearby,Forest / Census locality,servicing-areas/arasampattu-r-f-catering.html
486,Karuthamalai R.F.,"Karuthamalai R.F., Vellore, Tamil Nadu",Vellore & nearby,Forest / Census locality,servicing-areas/karuthamalai-r-f-catering.html
487,Palamadai R.F.,"Palamadai R.F., Vellore, Tamil Nadu",Vellore & nearby,Forest / Census locality,servicing-areas/palamadai-r-f-catering.html
488,Puthur R.F.,"Puthur R.F., Vellore, Tamil Nadu",Vellore & nearby,Forest / Census locality,servicing-areas/puthur-r-f-catering.html
489,Paravamalai R.F.,"Paravamalai R.F., Vellore, Tamil Nadu",Vellore & nearby,Forest / Census locality,servicing-areas/paravamalai-r-f-catering.html
490,Pallikonda R.F.,"Pallikonda R.F., Vellore, Tamil Nadu",Vellore & nearby,Forest / Census locality,servicing-areas/pallikonda-r-f-catering.html
491,Nallimalai R.F.,"Nallimalai R.F., Vellore, Tamil Nadu",Vellore & nearby,Forest / Census locality,servicing-areas/nallimalai-r-f-catering.html
492,Athiyur R.F.,"Athiyur R.F., Vellore, Tamil Nadu",Vellore & nearby,Forest / Census locality,servicing-areas/athiyur-r-f-catering.html
493,Appukal R.F.,"Appukal R.F., Vellore, Tamil Nadu",Vellore & nearby,Forest / Census locality,servicing-areas/appukal-r-f-catering.html
494,Kaniyambadi R.F.,"Kaniyambadi R.F., Vellore, Tamil Nadu",Vellore & nearby,Forest / Census locality,servicing-areas/kaniyambadi-r-f-catering.html
495,Thellai R.F.,"Thellai R.F., Vellore, Tamil Nadu",Vellore & nearby,Forest / Census locality,servicing-areas/thellai-r-f-catering.html
496,Ammundi R.F.,"Ammundi R.F., Vellore, Tamil Nadu",Vellore & nearby,Forest / Census locality,servicing-areas/ammundi-r-f-catering.html
497,Bomminayakkanpalayam R.F.,"Bomminayakkanpalayam R.F., Vellore, Tamil Nadu",Vellore & nearby,Forest / Census locality,servicing-areas/bomminayakkanpalayam-r-f-catering.html
498,Chenji R.F.,"Chenji R.F., Vellore, Tamil Nadu",Vellore & nearby,Forest / Census locality,servicing-areas/chenji-r-f-catering.html
499,Pallalakuppam R.F.,"Pallalakuppam R.F., Vellore, Tamil Nadu",Vellore & nearby,Forest / Census locality,servicing-areas/pallalakuppam-r-f-catering.html
500,Karapattu R.F.,"Karapattu R.F., Vellore, Tamil Nadu",Vellore & nearby,Forest / Census locality,servicing-areas/karapattu-r-f-catering.html
501,Veerasettipalli R.F.,"Veerasettipalli R.F., Vellore, Tamil Nadu",Vellore & nearby,Forest / Census locality,servicing-areas/veerasettipalli-r-f-catering.html
502,Arasampattu,"Arasampattu, Vellore, Tamil Nadu",Vellore & nearby,Locality / Village,servicing-areas/arasampattu-catering.html
503,Karuthamalai,"Karuthamalai, Vellore, Tamil Nadu",Vellore & nearby,Locality / Village,servicing-areas/karuthamalai-catering.html
504,Palamadai,"Palamadai, Vellore, Tamil Nadu",Vellore & nearby,Locality / Village,servicing-areas/palamadai-catering.html
505,Puthur,"Puthur, Vellore, Tamil Nadu",Vellore & nearby,Locality / Village,servicing-areas/puthur-catering.html
506,Paravamalai,"Paravamalai, Vellore, Tamil Nadu",Vellore & nearby,Locality / Village,servicing-areas/paravamalai-catering.html
